Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Total Reps,Total Sets,Total Routes,Climb Time,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
"Padel,2024-11-30 14:00:08,false,""Padel"",""0.65"",""1,759"",""03:19:16"",""144"",""180"",""4.5"",""18"",""240"",""0.2"",""14.6"",""--"",""--"",""0.18"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""03:19:16"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:10:32"",""03:19:16"",""--"",""--"""
"Tennis,2024-11-28 18:15:27,false,""Tennis"",""0.47"",""512"",""01:11:50"",""121"",""177"",""2.3"",""23"",""214"",""0.4"",""9.7"",""--"",""--"",""0.28"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:11:50"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:06:37"",""01:11:50"",""--"",""--"""
"Padel,2024-11-26 17:39:40,false,""Padel"",""0.07"",""882"",""01:20:24"",""149"",""184"",""3.8"",""11"",""250"",""0.1"",""5.6"",""--"",""--"",""0.08"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:20:24"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:25"",""01:20:24"",""--"",""--"""
"Tennis,2024-11-21 18:14:39,false,""Tennis"",""0.33"",""467"",""01:14:04"",""113"",""159"",""1.9"",""19"",""230"",""0.3"",""11.2"",""--"",""--"",""0.23"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:14:04"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:05:46"",""01:14:04"",""--"",""--"""
"Padel,2024-11-19 17:39:43,false,""Padel"",""0.69"",""788"",""02:25:53"",""110"",""170"",""3.0"",""14"",""215"",""0.3"",""7.4"",""--"",""--"",""0.33"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""02:25:53"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:08:55"",""02:25:53"",""--"",""--"""
"Running,2024-11-18 20:18:54,false,""Jyvaskyla Running"",""4.88"",""343"",""00:31:16"",""136"",""169"",""2.6"",""168"",""207"",""6:25"",""3:33"",""47"",""47"",""0.92"",""9.3"",""8.4"",""271"",""6:24"",""282"",""0.0"",""269"",""491"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:00:19.7"",""4"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:31:11"",""00:31:16"",""98"",""123"""
"Running,2024-11-13 16:16:14,false,""Kuopio Running"",""5.06"",""351"",""00:31:50"",""133"",""165"",""2.7"",""161"",""179"",""6:18"",""4:10"",""52"",""51"",""0.98"",""9.2"",""8.9"",""274"",""6:15"",""296"",""0.0"",""283"",""447"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:01:26.3"",""4"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:31:20"",""00:31:50"",""86"",""110"""
"Padel,2024-11-12 17:38:54,false,""Padel"",""0.11"",""740"",""01:25:23"",""138"",""176"",""3.2"",""12"",""240"",""0.1"",""7.9"",""--"",""--"",""0.11"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:25:23"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:25"",""01:25:23"",""--"",""--"""
"Tennis,2024-11-07 18:50:05,false,""Tennis"",""0.23"",""300"",""00:36:50"",""125"",""186"",""2.2"",""22"",""214"",""0.4"",""8.1"",""--"",""--"",""0.27"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:36:50"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:04:08"",""00:36:50"",""--"",""--"""
"Padel,2024-11-03 18:08:27,false,""Padel"",""0.27"",""1,245"",""01:58:40"",""150"",""185"",""4.4"",""15"",""231"",""0.1"",""11.5"",""--"",""--"",""0.15"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:58:40"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:03:47"",""01:58:40"",""--"",""--"""
